originalCode,typeIndicator,pureCode,pureComment,pureMacro
////////////////////////////////////////////////////////////////////////////////,0.5,,////////////////////////////////////////////////////////////////////////////////,
//,0.5,,//,
//  File           : cart_driver.c,0.5,,//  File           : cart_driver.c,
//  Description    : This is the implementation of the standardized IO functions,0.5,,//  Description    : This is the implementation of the standardized IO functions,
//                   for used to access the CART storage system.,0.5,,//                   for used to access the CART storage system.,
//,0.5,,//,
//  Author         : [**Xing Chen**],0.5,,//  Author         : [**Xing Chen**],
//  PSU email      : [**xzc5179@psu.edu**],0.5,,//  PSU email      : [**xzc5179@psu.edu**],
//,0.5,,//,
,0.0,,,
// Includes,0.5,,// Includes,
#include <stdlib.h>,0.0,#include <stdlib.h>,,
#include <stdio.h>,0.0,#include <stdio.h>,,
#include <string.h>,0.0,#include <string.h>,,
,0.0,,,
// Project Includes,0.5,,// Project Includes,
"#include ""cart_driver.h""",0.0,"#include ""cart_driver.h""",,
"#include ""cart_controller.h""",0.0,"#include ""cart_controller.h""",,
,0.0,,,
//,0.5,,//,
// Implementation,0.5,,// Implementation,
,0.0,,,
//constants definition,0.5,,//constants definition,
#define MAX_FILE_NUMBER 1024,0.0,#define MAX_FILE_NUMBER 1024,,
,0.0,,,
//Functional Prototypes,0.5,,//Functional Prototypes,
int16_t find_file_byname(char* path);,0.0,int16_t find_file_byname(char* path);,,
int16_t create_empty_file(char* path);,0.0,int16_t create_empty_file(char* path);,,
,0.0,,,
// Type definitions,0.5,,// Type definitions,
"// name - path of the file, assumed to be unique",0.5,,"// name - path of the file, assumed to be unique",
// total_size - total number of bytes the file contains,0.5,,// total_size - total number of bytes the file contains,
// pos - the current position of the file either to read or write,0.5,,// pos - the current position of the file either to read or write,
"// is_open - 1 being open, 0 being closed",0.5,,"// is_open - 1 being open, 0 being closed",
// frames - maps the index of frame in file to the index of frame in cart,0.5,,// frames - maps the index of frame in file to the index of frame in cart,
// cart - maps the index of frame in file to the index of cart in cart,0.5,,// cart - maps the index of frame in file to the index of cart in cart,
typedef struct,0.0,typedef struct,,
{,0.0,{,,
char name[128];,0.0,char name[128];,,
int32_t total_size;,0.0,int32_t total_size;,,
int32_t pos;,0.0,int32_t pos;,,
int is_open;,0.0,int is_open;,,
int16_t frames[100];,0.0,int16_t frames[100];,,
int16_t carts[100];,0.0,int16_t carts[100];,,
}File;,0.0,}File;,,
,0.0,,,
//an fd table storing all files,0.5,,//an fd table storing all files,
//using fd number as index,0.5,,//using fd number as index,
//a File struct is stored in the corresponding fd to represent the file,0.5,,//a File struct is stored in the corresponding fd to represent the file,
//null pointer otherwise,0.5,,//null pointer otherwise,
File** files;,0.0,File** files;,,
,0.0,,,
//the number of frames that has been used in the cart,0.5,,//the number of frames that has been used in the cart,
int frame_count;,0.0,int frame_count;,,
,0.0,,,
////////////////////////////////////////////////////////////////////////////////,0.5,,////////////////////////////////////////////////////////////////////////////////,
//,0.5,,//,
// Function     : cart_poweron,0.5,,// Function     : cart_poweron,
"// Description  : Startup up the CART interface, initialize filesystem",0.5,,"// Description  : Startup up the CART interface, initialize filesystem",
//,0.5,,//,
// Inputs       : none,0.5,,// Inputs       : none,
"// Outputs      : 0 if successful, -1 if failure",0.5,,"// Outputs      : 0 if successful, -1 if failure",
,0.0,,,
int32_t cart_poweron(void) {,0.0,int32_t cart_poweron(void) {,,
,0.0,,,
//intialize cart,0.5,,//intialize cart,
"cart_io_bus((CartXferRegister)CART_OP_INITMS << 56, NULL);",0.0,"cart_io_bus((CartXferRegister)CART_OP_INITMS << 56, NULL);",,
int16_t CT1;,0.0,int16_t CT1;,,
for (CT1 = 0; CT1 < CART_MAX_CARTRIDGES; ++CT1),0.0,for (CT1 = 0; CT1 < CART_MAX_CARTRIDGES; ++CT1),,
{,0.0,{,,
"cart_io_bus(((CartXferRegister)CART_OP_LDCART << 56) | ((CartXferRegister)CT1 << 31), NULL);",0.0,"cart_io_bus(((CartXferRegister)CART_OP_LDCART << 56) | ((CartXferRegister)CT1 << 31), NULL);",,
"cart_io_bus((CartXferRegister)CART_OP_BZERO << 56, NULL);",0.0,"cart_io_bus((CartXferRegister)CART_OP_BZERO << 56, NULL);",,
},0.0,},,
,0.0,,,
//initialize driver,0.5,,//initialize driver,
"files = calloc(MAX_FILE_NUMBER, sizeof(File*));",0.0,"files = calloc(MAX_FILE_NUMBER, sizeof(File*));",,
frame_count = 0;,0.0,frame_count = 0;,,
,0.0,,,
// Return successfully,0.5,,// Return successfully,
return(0);,0.0,return(0);,,
},0.0,},,
,0.0,,,
