originalCode,typeIndicator,pureCode,pureComment,pureMacro
////////////////////////////////////////////////////////////////////////////////,0.5,,////////////////////////////////////////////////////////////////////////////////,
//,0.5,,//,
//  File           : cart_driver.c,0.5,,//  File           : cart_driver.c,
//  Description    : This is the implementation of the standardized IO functions,0.5,,//  Description    : This is the implementation of the standardized IO functions,
//                   for used to access the CART storage system.,0.5,,//                   for used to access the CART storage system.,
//,0.5,,//,
//  Author         : Yuan Fu,0.5,,//  Author         : Yuan Fu,
//  PSU email      : ykf5041@psu.edu,0.5,,//  PSU email      : ykf5041@psu.edu,
//,0.5,,//,
,0.0,,,
// Includes,0.5,,// Includes,
#include <stdlib.h>,0.0,#include <stdlib.h>,,
#include <string.h>,0.0,#include <string.h>,,
,0.0,,,
// Project Includes,0.5,,// Project Includes,
"#include ""cart_driver.h""",0.0,"#include ""cart_driver.h""",,
"#include ""cart_controller.h""",0.0,"#include ""cart_controller.h""",,
"#include ""cmpsc311_log.h""",0.0,"#include ""cmpsc311_log.h""",,
,0.0,,,
// Structs,0.5,,// Structs,
,0.0,,,
// states of a file,0.5,,// states of a file,
typedef enum {,0.0,typedef enum {,,
"FD_EMPTY = -1,",0.0,"FD_EMPTY = -1,",,
"FD_CLOSE = 0,",0.0,"FD_CLOSE = 0,",,
FD_OPEN = 1,0.0,FD_OPEN = 1,,
} fd_state;,0.0,} fd_state;,,
,0.0,,,
// a frame used by a file,0.5,,// a frame used by a file,
struct frame {,0.0,struct frame {,,
// cart id,0.5,,// cart id,
int cid;,0.0,int cid;,,
// frame id,0.5,,// frame id,
int fid;,0.0,int fid;,,
};,0.0,};,,
,0.0,,,
"// the file, detail see below",0.5,,"// the file, detail see below",
struct fd {,0.0,struct fd {,,
char filename[128];,0.0,char filename[128];,,
// file size,0.5,,// file size,
int size;,0.0,int size;,,
// current position,0.5,,// current position,
int pos;,0.0,int pos;,,
// all the frames the file used,0.5,,// all the frames the file used,
struct frame frames[100];,0.0,struct frame frames[100];,,
// the state of the file,0.5,,// the state of the file,
fd_state state;,0.0,fd_state state;,,
// number of frames we have,0.5,,// number of frames we have,
int frame_count;,0.0,int frame_count;,,
};,0.0,};,,
,0.0,,,
,0.0,,,
// Global vars,0.5,,// Global vars,
,0.0,,,
"// currently loaded cart id, -1 means none loaded",0.5,,"// currently loaded cart id, -1 means none loaded",
int current_cart = -1;,0.0,int current_cart = -1;,,
"// 1 means cart hardware is on and inited, 0 means not",0.5,,"// 1 means cart hardware is on and inited, 0 means not",
int cart_is_on = 0;,0.0,int cart_is_on = 0;,,
// all fd鈥檚,0.5,,// all fd鈥檚,
struct fd fd_table[1024];,0.0,struct fd fd_table[1024];,,
// last frame that we pulled out to store file.,0.5,,// last frame that we pulled out to store file.,
// At first fid is -1 so the first one wee add will have fid 0,0.5,,// At first fid is -1 so the first one wee add will have fid 0,
"struct frame last_used_frame = {0, -1};",0.0,"struct frame last_used_frame = {0, -1};",,
// my debug level,0.5,,// my debug level,
unsigned long CartDebugLevel;,0.0,unsigned long CartDebugLevel;,,
,0.0,,,
// Helpers,0.5,,// Helpers,
,0.0,,,
/*,1.0,,/*,
* Return the larger int from a & b,1.0,,* Return the larger int from a & b,
*/,0.0,*/,,
"int max(int a , int b) {",0.0,"int max(int a , int b) {",,
if (a > b),0.0,if (a > b),,
return a;,0.0,return a;,,
else,0.0,else,,
return b;,0.0,return b;,,
},0.0,},,
,0.0,,,
/*,1.0,,/*,
* Return the smaller int from a & b,1.0,,* Return the smaller int from a & b,
*/,0.0,*/,,
"int min(int a , int b) {",0.0,"int min(int a , int b) {",,
if (a < b),0.0,if (a < b),,
return a;,0.0,return a;,,
else,0.0,else,,
return b;,0.0,return b;,,
},0.0,},,
,0.0,,,
,0.0,,,
// Bus functions,0.5,,// Bus functions,
,0.0,,,
/*,1.0,,/*,
"* If reg鈥檚 return bit is 0, return 0,",1.0,,"* If reg鈥檚 return bit is 0, return 0,",
"* if reg鈥檚 return bit is 0, return -1",1.0,,"* if reg鈥檚 return bit is 0, return -1",
*/,0.0,*/,,
int bus_is_ok(CartXferRegister reg) {,0.0,int bus_is_ok(CartXferRegister reg) {,,
unsigned long bit = (reg << 16) >> 63;,0.0,unsigned long bit = (reg << 16) >> 63;,,
if (bit == 0),0.0,if (bit == 0),,
return 0;,0.0,return 0;,,
else,0.0,else,,
return -1;,0.0,return -1;,,
},0.0,},,
,0.0,,,
/*,1.0,,/*,
* Wrapper function for op INITMS,1.0,,* Wrapper function for op INITMS,
* Just send all 0鈥檚,1.0,,* Just send all 0鈥檚,
*/,0.0,*/,,
