originalCode,typeIndicator,pureCode,pureComment,pureMacro
#include <stdio.h>,0.0,#include <stdio.h>,,
#include <string.h>,0.0,#include <string.h>,,
"#include ""csapp.h""",0.0,"#include ""csapp.h""",,
"#include ""cache.h""",0.0,"#include ""cache.h""",,
,0.0,,,
/* You won't lose style points for including this long line in your code */,1.0,,/* You won't lose style points for including this long line in your code */,
"static const char *user_agent_hdr = ""User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:10.0.3) Gecko/20120305 Firefox/10.0.3\r\n"";",0.0,"static const char *user_agent_hdr = ""User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:10.0.3) Gecko/20120305 Firefox/10.0.3\r\n"";",,
,0.0,,,
"void doit(int clientfd,CacheList *cache);",0.0,"void doit(int clientfd,CacheList *cache);",,
void *thread(void *var);,0.0,void *thread(void *var);,,
"int parse_url(const char *url,char *host, char *port, char *path);",0.0,"int parse_url(const char *url,char *host, char *port, char *path);",,
"void clienterror(int fd,char *cause,char *errnum, char *shortmsg, char *longmsg);",0.0,"void clienterror(int fd,char *cause,char *errnum, char *shortmsg, char *longmsg);",,
,0.0,,,
"int main(int argc,char **argv )",0.0,"int main(int argc,char **argv )",,
{,0.0,{,,
"int listenfd,connfd;",0.0,"int listenfd,connfd;",,
"char hostname[MAXLINE],port[MAXLINE];",0.0,"char hostname[MAXLINE],port[MAXLINE];",,
socklen_t clientlen;,0.0,socklen_t clientlen;,,
struct sockaddr_storage clientaddr;,0.0,struct sockaddr_storage clientaddr;,,
CacheList cache_store;,0.0,CacheList cache_store;,,
cache_init(&cache_store);,0.0,cache_init(&cache_store);,,
,0.0,,,
/* Check command line args */,1.0,,/* Check command line args */,
if (argc != 2) {,0.0,if (argc != 2) {,,
"fprintf(stderr, ""usage: %s <port>\n"", argv[0]);",0.0,"fprintf(stderr, ""usage: %s <port>\n"", argv[0]);",,
exit(1);,0.0,exit(1);,,
},0.0,},,
,0.0,,,
"Signal(SIGPIPE, SIG_IGN);",0.0,"Signal(SIGPIPE, SIG_IGN);",,
listenfd = Open_listenfd(argv[1]);,0.0,listenfd = Open_listenfd(argv[1]);,,
while (1) {,0.0,while (1) {,,
clientlen = sizeof(clientaddr);,0.0,clientlen = sizeof(clientaddr);,,
