originalCode,typeIndicator,pureCode,pureComment,pureMacro
#include <stdio.h>,0.0,#include <stdio.h>,,
"#include ""csapp.h""",0.0,"#include ""csapp.h""",,
"#include ""cache.h""",0.0,"#include ""cache.h""",,
"#include ""string.h""",0.0,"#include ""string.h""",,
,0.0,,,
/* You won't lose style points for including this long line in your code */,1.0,,/* You won't lose style points for including this long line in your code */,
"static const char *user_agent_hdr = ""User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:10.0.3) Gecko/20120305 Firefox/10.0.3\r\n"";",0.0,"static const char *user_agent_hdr = ""User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:10.0.3) Gecko/20120305 Firefox/10.0.3\r\n"";",,
,0.0,,,
"int parse_url(const char *url, char *host, char *port, char *path);",0.0,"int parse_url(const char *url, char *host, char *port, char *path);",,
"int read_header(char *buf, rio_t *riop, char *host);",0.0,"int read_header(char *buf, rio_t *riop, char *host);",,
void serve (int connfd);,0.0,void serve (int connfd);,,
"size_t request_page(char *host, char *port, char *header,",0.0,"size_t request_page(char *host, char *port, char *header,",,
"char **resp_bufp, char *uri);",0.0,"char **resp_bufp, char *uri);",,
"int  read_response_header(rio_t *riop, char* header_buf,",0.0,"int  read_response_header(rio_t *riop, char* header_buf,",,
"size_t *content_len, int *ok,",0.0,"size_t *content_len, int *ok,",,
int *has_content_len);,0.0,int *has_content_len);,,
"size_t read_to_eof(rio_t *riop, char **bufp);",0.0,"size_t read_to_eof(rio_t *riop, char **bufp);",,
"size_t read_bytes(rio_t *riop, char* bufp, size_t count);",0.0,"size_t read_bytes(rio_t *riop, char* bufp, size_t count);",,
"char *merge_resp(char *p1, size_t len1, char *p2, size_t len2);",0.0,"char *merge_resp(char *p1, size_t len1, char *p2, size_t len2);",,
,0.0,,,
CacheList *cache;,0.0,CacheList *cache;,,
,0.0,,,
/*,1.0,,/*,
* init cache,1.0,,* init cache,
*,1.0,,*,
* Ignore SIGPIPE,1.0,,* Ignore SIGPIPE,
*,1.0,,*,
* Start listening on given port,1.0,,* Start listening on given port,
*,1.0,,*,
* loop:,1.0,,* loop:,
*  accept client connection,1.0,,*  accept client connection,
*  get relevant info,1.0,,*  get relevant info,
*  serve content with serve(),1.0,,*  serve content with serve(),
*  close socket,1.0,,*  close socket,
*/,0.0,*/,,
"int main(int argc, char** argv)",0.0,"int main(int argc, char** argv)",,
{,0.0,{,,
if (argc != 2) {,0.0,if (argc != 2) {,,
"printf(""Wrong number of arguments: %d, requires 1\n"", argc);",0.0,"printf(""Wrong number of arguments: %d, requires 1\n"", argc);",,
return -1;,0.0,return -1;,,
},0.0,},,
,0.0,,,
cache = malloc(sizeof(CacheList));,0.0,cache = malloc(sizeof(CacheList));,,
cache_init(cache);,0.0,cache_init(cache);,,
,0.0,,,
"int listenfd, connfd;",0.0,"int listenfd, connfd;",,
socklen_t clientlen;,0.0,socklen_t clientlen;,,
struct sockaddr_storage clientaddr;,0.0,struct sockaddr_storage clientaddr;,,
"char client_hostname[MAXLINE], client_port[MAXLINE];",0.0,"char client_hostname[MAXLINE], client_port[MAXLINE];",,
,0.0,,,
"Signal(SIGPIPE, SIG_IGN);",0.0,"Signal(SIGPIPE, SIG_IGN);",,
if ((listenfd = open_listenfd(argv[1])) < 0) {,0.0,if ((listenfd = open_listenfd(argv[1])) < 0) {,,
"printf(""Can't find a listen port\n"");",0.0,"printf(""Can't find a listen port\n"");",,
return -1;,0.0,return -1;,,
},0.0,},,
,0.0,,,
while (1) {,0.0,while (1) {,,
// accept,0.5,,// accept,
clientlen = sizeof(struct sockaddr_storage);,0.0,clientlen = sizeof(struct sockaddr_storage);,,
"connfd = accept(listenfd, (SA *)&clientaddr, &clientlen);",0.0,"connfd = accept(listenfd, (SA *)&clientaddr, &clientlen);",,
if (connfd < 0) {,0.0,if (connfd < 0) {,,
"printf(""accept error\n"");",0.0,"printf(""accept error\n"");",,
continue;,0.0,continue;,,
},0.0,},,
// get info,0.5,,// get info,
"int ret = getnameinfo((SA *) &clientaddr, clientlen, client_hostname, MAXLINE,",0.0,"int ret = getnameinfo((SA *) &clientaddr, clientlen, client_hostname, MAXLINE,",,
"client_port, MAXLINE, 0);",0.0,"client_port, MAXLINE, 0);",,
if (ret != 0) {,0.0,if (ret != 0) {,,
"printf(""getnameinfo error: %s\n"", gai_strerror(ret));",0.0,"printf(""getnameinfo error: %s\n"", gai_strerror(ret));",,
continue;,0.0,continue;,,
},0.0,},,
"printf(""Connected to %s:%s\n"", client_hostname, client_port);",0.0,"printf(""Connected to %s:%s\n"", client_hostname, client_port);",,
// serve content,0.5,,// serve content,
serve(connfd);,0.0,serve(connfd);,,
close(connfd);,0.0,close(connfd);,,
},0.0,},,
return 0;,0.0,return 0;,,
},0.0,},,
,0.0,,,
/*,1.0,,/*,
* Serve content to client CLIENT_FD.,1.0,,* Serve content to client CLIENT_FD.,
*,1.0,,*,
* read first line from client,1.0,,* read first line from client,
*,1.0,,*,
"* parse it to get host, port, path",1.0,,"* parse it to get host, port, path",
*,1.0,,*,
"* read rest of the headers, add default headers,",1.0,,"* read rest of the headers, add default headers,",
* and request remote page from host with our header.,1.0,,* and request remote page from host with our header.,
*,1.0,,*,
* send the response from remote server to our client,1.0,,* send the response from remote server to our client,
*/,0.0,*/,,
void serve (int client_fd) {,0.0,void serve (int client_fd) {,,
rio_t rio;,0.0,rio_t rio;,,
"rio_readinitb(&rio, client_fd);",0.0,"rio_readinitb(&rio, client_fd);",,
,0.0,,,
// read first line,0.5,,// read first line,
char line[MAXLINE];,0.0,char line[MAXLINE];,,
"if ((rio_readlineb(&rio, &line, MAXLINE)) < 0) {",0.0,"if ((rio_readlineb(&rio, &line, MAXLINE)) < 0) {",,
"printf(""Failed to read header\n"");",0.0,"printf(""Failed to read header\n"");",,
return;,0.0,return;,,
},0.0,},,
"printf(""Received request: %s"", line);",0.0,"printf(""Received request: %s"", line);",,
,0.0,,,
// parse first line,0.5,,// parse first line,
char method[MAXLINE];,0.0,char method[MAXLINE];,,
char uri[MAXLINE];,0.0,char uri[MAXLINE];,,
char version[MAXLINE];,0.0,char version[MAXLINE];,,
"if (sscanf(line, ""%s %s %s\r\n"", method, uri, version) != 3) {",0.0,"if (sscanf(line, ""%s %s %s\r\n"", method, uri, version) != 3) {",,
"printf(""Failed to parse header: %s\n"", line);",0.0,"printf(""Failed to parse header: %s\n"", line);",,
return;,0.0,return;,,
},0.0,},,
"if (strcasecmp(method, ""GET"") != 0) {",0.0,"if (strcasecmp(method, ""GET"") != 0) {",,
"printf(""not GET, skip\n"");",0.0,"printf(""not GET, skip\n"");",,
return;,0.0,return;,,
},0.0,},,
,0.0,,,
// parse uri,0.5,,// parse uri,
char host[MAXLINE];,0.0,char host[MAXLINE];,,
char port[MAXLINE];,0.0,char port[MAXLINE];,,
char path[MAXLINE];,0.0,char path[MAXLINE];,,
"parse_url(uri, host, port, path);",0.0,"parse_url(uri, host, port, path);",,
"if (strcmp(host, """") == 0) {",0.0,"if (strcmp(host, """") == 0) {",,
"printf(""Failed to parse uri: %s"", uri);",0.0,"printf(""Failed to parse uri: %s"", uri);",,
return;,0.0,return;,,
},0.0,},,
,0.0,,,
// read headers and process them,0.5,,// read headers and process them,
char header[MAXBUF];,0.0,char header[MAXBUF];,,
"sprintf(header, ""GET %s HTTP/1.0\r\n"", path);",0.0,"sprintf(header, ""GET %s HTTP/1.0\r\n"", path);",,
"if (read_header(header, &rio, host) < 0) {",0.0,"if (read_header(header, &rio, host) < 0) {",,
"printf(""read_header failed, header:\n"");",0.0,"printf(""read_header failed, header:\n"");",,
"printf(""%s"", header);",0.0,"printf(""%s"", header);",,
return;,0.0,return;,,
} else {,0.0,} else {,,
"printf(""read_header success, header:\n"");",0.0,"printf(""read_header success, header:\n"");",,
"printf(""%s"", header);",0.0,"printf(""%s"", header);",,
},0.0,},,
,0.0,,,
// request for page,0.5,,// request for page,
