originalCode,typeIndicator,pureCode,pureComment,pureMacro
//Email:finiantang0826@gmail.com,0.5,,//Email:finiantang0826@gmail.com,
//Name: Jing Tang,0.5,,//Name: Jing Tang,
,0.0,,,
#include <stdio.h>,0.0,#include <stdio.h>,,
#include <string.h>,0.0,#include <string.h>,,
#include <stdlib.h>,0.0,#include <stdlib.h>,,
"#include ""csapp.h""",0.0,"#include ""csapp.h""",,
"#include ""cache.h""",0.0,"#include ""cache.h""",,
,0.0,,,
"void doit(int fd, CacheList *cachelist);",0.0,"void doit(int fd, CacheList *cachelist);",,
"int parse_url(const char *url, char *host, char *port, char *path);",0.0,"int parse_url(const char *url, char *host, char *port, char *path);",,
"void request_header(char*host,char*path, char* output_header, rio_t rio);",0.0,"void request_header(char*host,char*path, char* output_header, rio_t rio);",,
/* You won't lose style points for including this long line in your code */,1.0,,/* You won't lose style points for including this long line in your code */,
"static const char *user_agent_hdr = ""User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:10.0.3) Gecko/20120305 Firefox/10.0.3\r\n"";",0.0,"static const char *user_agent_hdr = ""User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:10.0.3) Gecko/20120305 Firefox/10.0.3\r\n"";",,
"static const char *conn_header = ""Connection: close\r\n"";",0.0,"static const char *conn_header = ""Connection: close\r\n"";",,
"static const char *prox_header = ""Proxy-Connection: close\r\n"";",0.0,"static const char *prox_header = ""Proxy-Connection: close\r\n"";",,
"static const char *end = ""\r\n"";",0.0,"static const char *end = ""\r\n"";",,
,0.0,,,
"int main(int argc, char** argv)",0.0,"int main(int argc, char** argv)",,
{,0.0,{,,
int listenfd;,0.0,int listenfd;,,
int connfd;,0.0,int connfd;,,
char hostname[MAXLINE];,0.0,char hostname[MAXLINE];,,
char* port = NULL;,0.0,char* port = NULL;,,
socklen_t clientlen;,0.0,socklen_t clientlen;,,
struct sockaddr_storage clientaddr;,0.0,struct sockaddr_storage clientaddr;,,
CacheList cachelist;,0.0,CacheList cachelist;,,
,0.0,,,
//check whether the input is a valid input,0.5,,//check whether the input is a valid input,
if(argc != 2){,0.0,if(argc != 2){,,
"printf(""Not a valid website\n"");",0.0,"printf(""Not a valid website\n"");",,
exit(1);,0.0,exit(1);,,
},0.0,},,
,0.0,,,
//init cache,0.5,,//init cache,
cache_init(&cachelist);,0.0,cache_init(&cachelist);,,
,0.0,,,
//connect to server,0.5,,//connect to server,
listenfd= open_listenfd(argv[1]);,0.0,listenfd= open_listenfd(argv[1]);,,
,0.0,,,
//accept connect and get information through port,0.5,,//accept connect and get information through port,
while (1) {,0.0,while (1) {,,
clientlen= sizeof(clientaddr);,0.0,clientlen= sizeof(clientaddr);,,
"connfd= accept(listenfd, (SA *)&clientaddr, &clientlen);",0.0,"connfd= accept(listenfd, (SA *)&clientaddr, &clientlen);",,
if(connfd<0){,0.0,if(connfd<0){,,
"printf(""Accept Error\n"");",0.0,"printf(""Accept Error\n"");",,
},0.0,},,
"getnameinfo((SA *) &clientaddr, clientlen, hostname, MAXLINE,port, MAXLINE, 0);",0.0,"getnameinfo((SA *) &clientaddr, clientlen, hostname, MAXLINE,port, MAXLINE, 0);",,
"printf(""Accepted connection from (%s, %s)\n"", hostname, port);",0.0,"printf(""Accepted connection from (%s, %s)\n"", hostname, port);",,
"doit(connfd,&cachelist);",0.0,"doit(connfd,&cachelist);",,
close(connfd);,0.0,close(connfd);,,
},0.0,},,
//destruct cache,0.5,,//destruct cache,
cache_destruct(&cachelist);,0.0,cache_destruct(&cachelist);,,
return 0;,0.0,return 0;,,
},0.0,},,
,0.0,,,
"void doit(int fd, CacheList *cachelist){",0.0,"void doit(int fd, CacheList *cachelist){",,
"char buf[MAXLINE], method[MAXLINE], url[MAXLINE], version[MAXLINE];",0.0,"char buf[MAXLINE], method[MAXLINE], url[MAXLINE], version[MAXLINE];",,
char host[MAXLINE];,0.0,char host[MAXLINE];,,
char port[MAXLINE];,0.0,char port[MAXLINE];,,
char path[MAXLINE];,0.0,char path[MAXLINE];,,
int serfd;,0.0,int serfd;,,
char client[MAXLINE];,0.0,char client[MAXLINE];,,
int result = 0;,0.0,int result = 0;,,
size_t n = 1;,0.0,size_t n = 1;,,
char *item = malloc(MAX_OBJECT_SIZE);,0.0,char *item = malloc(MAX_OBJECT_SIZE);,,
size_t size = 0;,0.0,size_t size = 0;,,
int status;,0.0,int status;,,
"char content[14] = ""Content-Length"";",0.0,"char content[14] = ""Content-Length"";",,
size_t csize = 0;,0.0,size_t csize = 0;,,
char header[MAXLINE];,0.0,char header[MAXLINE];,,
"memset(header,0,MAXLINE);",0.0,"memset(header,0,MAXLINE);",,
,0.0,,,
CachedItem *cache;,0.0,CachedItem *cache;,,
"rio_t rio,serrio;",0.0,"rio_t rio,serrio;",,
"rio_readinitb(&rio, fd);",0.0,"rio_readinitb(&rio, fd);",,
,0.0,,,
//check whether the client input something,0.5,,//check whether the client input something,
"if (!rio_readlineb(&rio, buf, MAXLINE)){",0.0,"if (!rio_readlineb(&rio, buf, MAXLINE)){",,
"printf(""There's nothing in the buf"");",0.0,"printf(""There's nothing in the buf"");",,
return;,0.0,return;,,
},0.0,},,
,0.0,,,
//scan the information from client,0.5,,//scan the information from client,
"sscanf(buf, ""%s %s %s"", method, url, version);",0.0,"sscanf(buf, ""%s %s %s"", method, url, version);",,
,0.0,,,
"//get port,host and path from url",0.5,,"//get port,host and path from url",
"result = parse_url(url,host,port,path);",0.0,"result = parse_url(url,host,port,path);",,
if(result == 0){,0.0,if(result == 0){,,
"printf(""Not a valid website"");",0.0,"printf(""Not a valid website"");",,
return;,0.0,return;,,
},0.0,},,
,0.0,,,
//check whether this url has already existed in cachelist,0.5,,//check whether this url has already existed in cachelist,
"//if it do exist, return the infomation to client",0.5,,"//if it do exist, return the infomation to client",
"//if not, continue going",0.5,,"//if not, continue going",
"cache = find(url,cachelist);",0.0,"cache = find(url,cachelist);",,
if(cache != NULL){,0.0,if(cache != NULL){,,
"rio_writen(fd,cache->headers,strlen(cache->headers));",0.0,"rio_writen(fd,cache->headers,strlen(cache->headers));",,
"rio_writen(fd,cache->item_p,cache->size);",0.0,"rio_writen(fd,cache->item_p,cache->size);",,
"printf(""FIND IT !!!!!!!! \n\n"");",0.0,"printf(""FIND IT !!!!!!!! \n\n"");",,
return;,0.0,return;,,
},0.0,},,
,0.0,,,
"printf(""Not FIND IT !!!!!\n\n"");",0.0,"printf(""Not FIND IT !!!!!\n\n"");",,
,0.0,,,
//get the header from client and modify to the form we want,0.5,,//get the header from client and modify to the form we want,
"request_header(host,path, client, rio);",0.0,"request_header(host,path, client, rio);",,
,0.0,,,
//connect to the end server,0.5,,//connect to the end server,
"serfd = open_clientfd(host, port);",0.0,"serfd = open_clientfd(host, port);",,
if(serfd<0){,0.0,if(serfd<0){,,
"printf(""Connection failed\n"");",0.0,"printf(""Connection failed\n"");",,
return;,0.0,return;,,
},0.0,},,
,0.0,,,
//begin to read the feedback from server and write those to the client,0.5,,//begin to read the feedback from server and write those to the client,
"rio_readinitb(&serrio,serfd);",0.0,"rio_readinitb(&serrio,serfd);",,
,0.0,,,
"rio_writen(serfd, client, strlen(client));",0.0,"rio_writen(serfd, client, strlen(client));",,
,0.0,,,
//read the header part,0.5,,//read the header part,
//check whther there is a 200 OK,0.5,,//check whther there is a 200 OK,
//get the content length,0.5,,//get the content length,
"while((n=rio_readlineb(&serrio,buf,MAXLINE))>2){",0.0,"while((n=rio_readlineb(&serrio,buf,MAXLINE))>2){",,
"rio_writen(fd, buf, n);",0.0,"rio_writen(fd, buf, n);",,
"strcat(header,buf);",0.0,"strcat(header,buf);",,
"if(strncasecmp(buf,version,n)){",0.0,"if(strncasecmp(buf,version,n)){",,
"sscanf(buf+8,""%d"",&status);",0.0,"sscanf(buf+8,""%d"",&status);",,
},0.0,},,
"if(strncasecmp(buf,content,14)==0){",0.0,"if(strncasecmp(buf,content,14)==0){",,
"sscanf(buf,""%s %zu"",content,&csize);",0.0,"sscanf(buf,""%s %zu"",content,&csize);",,
},0.0,},,
},0.0,},,
,0.0,,,
"rio_writen(fd,buf,strlen(buf));",0.0,"rio_writen(fd,buf,strlen(buf));",,
"strcat(header,buf);",0.0,"strcat(header,buf);",,
,0.0,,,
//read the item part,0.5,,//read the item part,
